,PropertyGFATotal,SiteEnergyUse(kBtu),TotalGHGEmissions,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,distance,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_10,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9
51,-0.05985717215709192,-0.12500741728262346,-0.04845549398580948,-0.14537634719778436,-0.04707210632781032,0.01749795376311571,0.7216181535680254,-1.311988528604424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
52,0.12289621125756398,-0.06716919393049035,0.01848659310181306,1.1455379361697369,-0.04707210632781032,0.2722681605540797,0.6514108278645075,-1.2813920606960916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53,-0.04452804581756325,-0.10304783154701155,-0.027096162355241017,1.0510807934843085,-0.04707210632781032,0.14488305715859773,0.510996176457472,-1.2908922010746209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,0.14813755168680387,-0.062249254273317386,-0.038783114832648645,1.0825665077127846,-0.04707210632781032,0.14488305715859773,0.5460998393092309,-1.2973822695181383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
55,-0.33977672543928794,-0.20785551579315145,-0.04657441648425372,-1.6566906301646382,-0.04707210632781032,-0.2372722530278483,0.3705815250504364,-0.39383744066077303,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,-0.011967746122280404,-0.12286541057501273,-0.015870377265311566,1.1140522219412607,-0.04707210632781032,-0.1098871496323663,1.0024474563820966,-1.257848193852529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
57,-0.34511030057756975,-0.20217926168336767,-0.1174000184137978,-0.05091920451235598,-0.04707210632781032,-0.3646573564233303,0.19506321079164188,-0.44982717814509077,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,0.452077801823394,1.3911474790524183,1.8718455074733438,-1.3103477736514009,-0.04707210632781032,0.01749795376311571,-0.4016990576882594,0.677861800913116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
59,-0.15680274378821413,0.3244184372703319,0.515030373593125,0.200966509315453,-0.04707210632781032,-0.3646573564233303,-2.262193188831481,1.9884945711421556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,-0.20236363288305886,-0.1888039020816224,-0.14278849669285987,1.3974236499975459,-0.04707210632781032,0.14488305715859773,0.30037419934691856,-1.042264894867041,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,0.2629074608204928,0.3364842201213739,0.29869432493033315,0.043537938173072395,-2.024100572095851,-0.2372722530278483,-0.6123210347988128,-0.7500322858964934,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63,-0.23899274449449417,-0.04519669321685255,0.0947005718745233,-1.7511477728500666,-0.04707210632781032,0.2722681605540797,0.19506321079164188,-0.8053066300494695,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,-0.32875661798445566,-0.2961801864820839,-0.17676925155967335,-1.089947774052068,-0.04707210632781032,-0.3646573564233303,1.0726547820856143,-1.1701036441641202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,0.9359379735824279,0.2190528724593094,-0.05566426841112634,1.4603950784544981,-0.04707210632781032,0.01749795376311571,1.0726547820856143,-1.1183528226126953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67,0.7719942664596721,0.4479794477425622,0.41521190617186043,0.8306807938849755,-0.04707210632781032,0.2722681605540797,-0.9984613261681607,-1.0232745996274346,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
71,2.18610739682695,1.2623540632574743,0.525248872020931,1.4603950784544981,-0.04707210632781032,0.9091936775314897,0.8971364678268199,-1.1362390235401572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76,3.898287962059071,1.1435587403105019,0.5939021328357753,1.4603950784544981,-0.04707210632781032,0.14488305715859773,0.9673437935303376,-1.2778443261566985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
77,-0.24104185700166494,-0.19809653193975807,-0.1649973471950987,0.200966509315453,-0.04707210632781032,-0.1098871496323663,0.08975222223636517,-1.322143345361394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78,-0.13958137479852295,-0.13021282039775864,-0.03953554583327095,1.2085093646266891,-0.04707210632781032,0.14488305715859773,-0.33149173198474163,-1.3288461045526359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,-0.369459443695075,-0.11835260599977059,0.007867607205933852,-0.05091920451235598,1.9299563594402303,-0.1098871496323663,-0.43680272054001834,-0.019901072555319192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81,-0.28256334727854626,-0.23162023750672348,-0.1284801716971552,-1.2788620594229247,-0.04707210632781032,-0.2372722530278483,-1.1037723147234375,-0.49219366219471666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82,0.3368814027659638,-0.08719228077784581,0.0710111313388019,-1.7511477728500666,-0.04707210632781032,0.14488305715859773,1.21306943349265,-0.39813438187579303,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83,-0.12721316701002572,-0.14063407583560242,-0.18274015562912774,1.2399950788551652,-0.04707210632781032,-0.2372722530278483,-0.08576609202242932,0.18237741299743815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
85,0.026857543487270957,-0.07764512075418713,0.06524653899532461,-0.2083477756547366,-0.04707210632781032,-0.49204245981881234,-0.1559734177259471,0.6027545750726854,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
86,-0.3207415487279384,-0.27258758363059105,-0.1993179096105803,0.7991950796564994,-0.04707210632781032,-0.2372722530278483,0.9673437935303376,1.2984059165351647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
87,-0.15768023455085423,-0.22189810883710195,-0.12131994120736236,0.012052223944596268,-0.04707210632781032,-0.3646573564233303,0.7216181535680254,-0.907722307032304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
90,-0.3627287463928131,-0.19262634145824203,-0.06969346577756788,1.177023650398213,-0.04707210632781032,-0.1098871496323663,0.826929142123302,2.228010120265934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
91,0.02759777312502882,-0.18118490381251798,-0.07256969395736602,-0.019433490283879855,-0.04707210632781032,-0.3646573564233303,0.7918254792715431,1.9995672584267736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
92,0.5892604917771421,0.13698427068589253,0.3143376081529484,-0.14537634719778436,-0.04707210632781032,-0.49204245981881234,0.9322401306785788,2.05047263090451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
93,-0.2757248019495912,-0.2075454653699803,-0.11613787609017331,1.2085093646266891,-0.04707210632781032,-0.2372722530278483,0.4407888507539542,2.03481257046903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,0.32156698297552966,-0.075625250528909,-0.05136813011725064,-1.8770906297639711,-0.04707210632781032,0.01749795376311571,1.142862107789132,-0.8588636844200644,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
97,0.7841026585474993,2.413781552056756,2.19149518691513,-0.302804918340165,5.884013290976312,0.01749795376311571,-1.8058455717586155,0.20966069337263168,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
98,-0.34251704575390146,-0.27743135220257603,-0.21136894160441805,0.8621665081134516,-0.04707210632781032,-0.3646573564233303,0.9673437935303376,0.21223394880175717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
101,0.18059000335539352,-0.017377850760290123,0.05301346724327177,1.0195950792558324,-0.04707210632781032,-0.1098871496323663,0.3705815250504364,-1.2617784224967168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
102,0.8049614473465702,0.017906556388407,-0.01684125597579193,0.8306807938849755,-0.04707210632781032,-0.1098871496323663,0.862032804975061,0.5002632970393733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107,0.6330663993467067,0.20982927406822768,0.21161864058412364,1.3974236499975459,-0.04707210632781032,-0.2372722530278483,-0.19107708057770603,-0.25464805067469704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108,-0.2283403007670251,-0.2375922122753273,-0.15521574418700881,1.177023650398213,-0.04707210632781032,-0.2372722530278483,0.9322401306785788,2.6245035728339494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
109,-0.2862350823691465,-0.24275963848324705,-0.17351680787956406,1.2085093646266891,-0.04707210632781032,-0.2372722530278483,0.47589251360571305,-0.08659864453739481,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110,-0.13248791595192944,-0.19890825548823432,-0.1093174531490486,1.1455379361697369,-0.04707210632781032,-0.2372722530278483,0.7918254792715431,1.8811764017528456,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
114,0.0696928188165967,-0.15879093825259824,-0.0671449091625569,1.177023650398213,-0.04707210632781032,-0.1098871496323663,0.826929142123302,-0.4359630945589043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
115,0.5459791177919491,-0.0008439503706495924,0.04619304430214707,1.4918807926829742,-0.04707210632781032,-0.3646573564233303,1.0726547820856143,1.7009471759585364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
117,-0.30813803615392876,-0.25833076162015295,-0.15855313975428514,1.2085093646266891,-0.04707210632781032,-0.2372722530278483,1.0726547820856143,0.7590261434033714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
119,-0.30083868562001187,-0.20756083601284211,-0.1640021965168563,1.3659379357690697,-0.04707210632781032,-0.2372722530278483,-1.560119931796303,1.4445966501014815,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
120,1.983696259455943,0.781777261494807,0.653829621240177,-0.39726206102559336,-0.04707210632781032,-0.49204245981881234,1.142862107789132,1.4883006878684042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,-0.005104689878167789,0.01572883643170117,-0.14371083146781624,0.043537938173072395,-0.04707210632781032,-0.1098871496323663,0.3705815250504364,1.4408629641574093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123,3.6943669523143594,9.921920641049326,9.661217537641354,-0.3342906325686411,9.838070222512393,0.6544234707405258,-1.946260223165651,0.6267030471206746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
124,-0.3428651007491386,-0.20961629821981603,-0.12259421951486786,1.0195950792558324,-0.04707210632781032,-0.2372722530278483,0.23016687364340077,1.5204116191311223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125,0.575573596753169,0.031540973471915985,-0.07403814800696762,1.1140522219412607,-0.04707210632781032,-0.3646573564233303,0.510996176457472,0.4681591955188274,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
128,0.2343326359298268,-0.09091397726249344,0.0699553007411545,-0.36577634679711724,-0.04707210632781032,-0.3646573564233303,0.47589251360571305,1.452189711641544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
129,0.09783625160048992,-0.11632655113712793,0.025840999333701983,-0.019433490283879855,-0.04707210632781032,-0.49204245981881234,0.3354778621986775,0.934205867409429,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
130,-0.054347118429675795,-0.2537224842320002,-0.13990013252918074,-1.8770906297639711,-0.04707210632781032,-0.1098871496323663,-0.1559734177259471,0.9407951080553578,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
131,0.2879625182945354,0.017115892944943253,0.1750650571345372,-0.11389063296930824,-0.04707210632781032,-0.3646573564233303,0.7216181535680254,2.2757194992284946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
133,0.5331648113475845,-0.06599168748324603,0.136788163973848,-0.8380620602242591,-0.04707210632781032,-0.49204245981881234,0.7567218164197843,0.6156491457501299,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134,-0.29608847026247964,-0.21959789870148222,-0.18074985427264292,0.07502365240154851,-0.04707210632781032,-0.49204245981881234,0.23016687364340077,1.8102353500025574,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
